date,family,Actual_Sales,Fitted_Sales
2013-04-07,BEVERAGES,441419.0,651443.6465194074
2013-04-14,BEVERAGES,412046.0,497972.52383437526
2013-04-21,BEVERAGES,399330.0,495848.2308932273
2013-04-28,BEVERAGES,394891.0,435634.0918837718
2013-05-05,BEVERAGES,452789.0,421817.23318858666
2013-05-12,BEVERAGES,470957.0,459591.5162887523
2013-05-19,BEVERAGES,430124.0,500156.63061681215
2013-05-26,BEVERAGES,396376.0,480074.81594843895
2013-06-02,BEVERAGES,424726.0,457804.298182724
2013-06-09,BEVERAGES,426212.0,449582.26050297555
2013-06-16,BEVERAGES,403539.0,448112.390539467
2013-06-23,BEVERAGES,416427.0,451631.7376918995
2013-06-30,BEVERAGES,491204.0,452923.3602912678
2013-07-07,BEVERAGES,452032.0,463780.5172677315
2013-07-14,BEVERAGES,364895.0,454133.76350510085
2013-07-21,BEVERAGES,373483.0,399347.3355055834
2013-07-28,BEVERAGES,378675.0,412782.15558583237
2013-08-04,BEVERAGES,416164.0,410979.9853453253
2013-08-11,BEVERAGES,402712.0,438594.15085199545
2013-08-18,BEVERAGES,401151.0,423978.7974588373
2013-08-25,BEVERAGES,397122.0,436531.18220347085
2013-09-01,BEVERAGES,440996.0,413152.9431156672
2013-09-08,BEVERAGES,465327.0,442090.031639774
2013-09-15,BEVERAGES,428211.0,479364.3925163119
2013-09-22,BEVERAGES,435320.0,476067.30773135094
2013-09-29,BEVERAGES,425908.0,479819.1248971826
2013-10-06,BEVERAGES,459752.0,457771.6509973503
2013-10-13,BEVERAGES,432458.0,480130.82151930826
2013-10-20,BEVERAGES,413214.0,475044.2979046433
2013-10-27,BEVERAGES,404887.0,477168.98122652224
2013-11-03,BEVERAGES,437991.0,458635.1018477121
2013-11-10,BEVERAGES,453556.0,479937.4495509765
2013-11-17,BEVERAGES,442226.0,489643.94016648165
2013-11-24,BEVERAGES,422023.0,479571.5853466629
2013-12-01,BEVERAGES,444877.0,474091.92340179347
2013-12-08,BEVERAGES,474920.0,452178.2524059027
2013-12-15,BEVERAGES,474963.0,487496.3142817932
2013-12-22,BEVERAGES,597305.0,491592.73889059696
2013-12-29,BEVERAGES,490514.0,383184.39478994516
2014-01-05,BEVERAGES,945566.0,668636.9573953485
2014-01-12,BEVERAGES,969125.0,865011.3170464954
2014-01-19,BEVERAGES,955126.0,907914.5966730667
2014-01-26,BEVERAGES,929288.0,883315.390250907
2014-02-02,BEVERAGES,731437.0,867328.0828366927
2014-02-09,BEVERAGES,469922.0,739717.4034282215
2014-02-16,BEVERAGES,494705.0,529325.52630299
2014-02-23,BEVERAGES,466331.0,486182.5809118558
2014-03-02,BEVERAGES,639190.0,481882.53350598854
2014-03-09,BEVERAGES,1082450.0,586403.4731922904
2014-03-16,BEVERAGES,942669.0,921365.5370706136
2014-03-23,BEVERAGES,952345.0,902138.5801304125
2014-03-30,BEVERAGES,959818.0,866714.2268802504
2014-04-06,BEVERAGES,621362.0,876052.5083582851
2014-04-13,BEVERAGES,500114.0,647757.5720131497
2014-04-20,BEVERAGES,499846.0,506556.62372627534
2014-04-27,BEVERAGES,473147.0,519645.62611703464
2014-05-04,BEVERAGES,500945.0,520838.14659865765
2014-05-11,BEVERAGES,464211.0,519456.2821488267
2014-05-18,BEVERAGES,472106.0,469158.43813204125
2014-05-25,BEVERAGES,450441.0,457376.1636957492
2014-06-01,BEVERAGES,470280.0,470176.49393927073
2014-06-08,BEVERAGES,504227.0,486393.7566942007
2014-06-15,BEVERAGES,469083.0,482360.94319725415
2014-06-22,BEVERAGES,497868.0,474723.8706911845
2014-06-29,BEVERAGES,612431.0,519711.26095903374
2014-07-06,BEVERAGES,1121963.0,597925.3685324318
2014-07-13,BEVERAGES,918220.0,925192.8736860445
2014-07-20,BEVERAGES,945163.0,900215.9023680981
2014-07-27,BEVERAGES,913434.0,857954.8077280746
2014-08-03,BEVERAGES,730932.0,884074.5278632729
2014-08-10,BEVERAGES,456714.0,766430.306024242
2014-08-17,BEVERAGES,455281.0,545056.4673312325
2014-08-24,BEVERAGES,455634.0,497182.09569944924
2014-08-31,BEVERAGES,475390.0,482938.8118446118
2014-09-07,BEVERAGES,1131264.0,524042.4572732807
2014-09-14,BEVERAGES,983366.0,926314.112114318
2014-09-21,BEVERAGES,987933.0,947484.7226154208
2014-09-28,BEVERAGES,951707.0,914042.6773007398
2014-10-05,BEVERAGES,1110383.0,930760.2861273581
2014-10-12,BEVERAGES,996383.0,1024436.7671331444
2014-10-19,BEVERAGES,1007980.0,988225.9615371854
2014-10-26,BEVERAGES,957481.0,952472.6597210497
2014-11-02,BEVERAGES,896932.0,933044.0961613212
2014-11-09,BEVERAGES,1160004.0,897610.8681646154
2014-11-16,BEVERAGES,977349.0,1047283.4110194521
2014-11-23,BEVERAGES,971954.0,979777.2146103368
2014-11-30,BEVERAGES,991564.0,971680.5539169149
2014-12-07,BEVERAGES,1124578.0,1005325.7456975812
2014-12-14,BEVERAGES,1065119.0,1099353.8276339388
2014-12-21,BEVERAGES,1114362.0,1110952.3420655672
2014-12-28,BEVERAGES,1388548.0,939805.1854146648
2015-01-04,BEVERAGES,870126.0,1439927.674956621
2015-01-11,BEVERAGES,592503.0,1069839.860543087
2015-01-18,BEVERAGES,551581.0,735803.6300911136
2015-01-25,BEVERAGES,510186.0,649723.2422696874
2015-02-01,BEVERAGES,518450.0,570849.2932619107
2015-02-08,BEVERAGES,537556.0,501178.41647289076
2015-02-15,BEVERAGES,513533.0,584970.2736355439
2015-02-22,BEVERAGES,588238.0,586405.8544472071
2015-03-01,BEVERAGES,527877.0,683973.5526439555
2015-03-08,BEVERAGES,564253.0,727102.2401753706
2015-03-15,BEVERAGES,538044.0,647946.8687318615
2015-03-22,BEVERAGES,491863.0,646321.5750232382
2015-03-29,BEVERAGES,487493.0,582618.1438821018
2015-04-05,BEVERAGES,542678.0,499720.29295789555
2015-04-12,BEVERAGES,551179.0,546093.6762573264
2015-04-19,BEVERAGES,532415.0,586845.1174100516
2015-04-26,BEVERAGES,537863.0,581345.554481229
2015-05-03,BEVERAGES,603444.0,584263.8093684025
2015-05-10,BEVERAGES,599518.0,617717.2108953458
2015-05-17,BEVERAGES,738624.0,646075.7671725631
2015-05-24,BEVERAGES,705282.0,736896.7186604481
2015-05-31,BEVERAGES,1148094.0,749038.0326223552
2015-06-07,BEVERAGES,1213677.0,1021683.0558410442
2015-06-14,BEVERAGES,1083104.0,1135713.1692716419
2015-06-21,BEVERAGES,1100288.0,1094091.3903681498
2015-06-28,BEVERAGES,1310053.0,1094903.6683968008
2015-07-05,BEVERAGES,1403343.0,1340389.9085390351
2015-07-12,BEVERAGES,1087719.0,1333076.1189354172
2015-07-19,BEVERAGES,1036965.0,1152310.7346713622
2015-07-26,BEVERAGES,1010871.0,1079898.9681641357
2015-08-02,BEVERAGES,1082742.0,993930.0863308945
2015-08-09,BEVERAGES,1041690.0,996144.9746071461
2015-08-16,BEVERAGES,1153580.0,1026143.3854101927
2015-08-23,BEVERAGES,1045599.0,1116563.1188160211
2015-08-30,BEVERAGES,1079183.0,1071119.9265515206
2015-09-06,BEVERAGES,1427123.0,1190873.9872752188
2015-09-13,BEVERAGES,1273003.0,1323503.9624596003
2015-09-20,BEVERAGES,1274411.0,1280198.9335213667
