date,family,sales
2013-01-06,AUTOMOTIVE,214.5
2013-01-06,BABY CARE,0.0
2013-01-06,BEAUTY,153.83333333333334
2013-01-06,BEVERAGES,57196.0
2013-01-06,BOOKS,0.0
2013-01-06,BREAD/BAKERY,18472.463851666667
2013-01-06,CELEBRATION,0.0
2013-01-06,CLEANING,54532.5
2013-01-06,DAIRY,17735.833333333332
2013-01-06,DELI,11184.243168333334
2013-01-06,EGGS,7434.166666666667
2013-01-06,FROZEN FOODS,4721.378172033334
2013-01-06,GROCERY I,146500.83333333334
2013-01-06,GROCERY II,1024.8333333333333
2013-01-06,HARDWARE,52.333333333333336
2013-01-06,HOME AND KITCHEN I,0.0
2013-01-06,HOME AND KITCHEN II,0.0
2013-01-06,HOME APPLIANCES,12.833333333333334
2013-01-06,HOME CARE,0.0
2013-01-06,LADIESWEAR,0.0
2013-01-06,LAWN AND GARDEN,112.33333333333333
2013-01-06,LINGERIE,410.1666666666667
2013-01-06,"LIQUOR,WINE,BEER",2750.5
2013-01-06,MAGAZINES,0.0
2013-01-06,MEATS,16994.120393499998
2013-01-06,PERSONAL CARE,12930.666666666666
2013-01-06,PET SUPPLIES,0.0
2013-01-06,PLAYERS AND ELECTRONICS,0.0
2013-01-06,POULTRY,10810.256165833334
2013-01-06,PREPARED FOODS,4250.683496833333
2013-01-06,PRODUCE,0.0
2013-01-06,SCHOOL AND OFFICE SUPPLIES,0.0
2013-01-06,SEAFOOD,1100.59933125
2013-01-13,AUTOMOTIVE,216.28571428571428
2013-01-13,BABY CARE,0.0
2013-01-13,BEAUTY,132.57142857142858
2013-01-13,BEVERAGES,56465.857142857145
2013-01-13,BOOKS,0.0
2013-01-13,BREAD/BAKERY,17700.957582857143
2013-01-13,CELEBRATION,0.0
2013-01-13,CLEANING,47478.57142857143
2013-01-13,DAIRY,16885.14285714286
2013-01-13,DELI,9638.093575714285
2013-01-13,EGGS,6460.285714285715
2013-01-13,FROZEN FOODS,3905.5141471428574
2013-01-13,GROCERY I,130850.57142857143
2013-01-13,GROCERY II,866.1428571428571
2013-01-13,HARDWARE,54.857142857142854
2013-01-13,HOME AND KITCHEN I,0.0
2013-01-13,HOME AND KITCHEN II,0.0
