store_nbr,family,cluster,city,state,type
1,AUTOMOTIVE,13,Quito,Pichincha,D
1,BABY CARE,13,Quito,Pichincha,D
25,BEAUTY,1,Salinas,Santa Elena,D
25,BEVERAGES,1,Salinas,Santa Elena,D
1,BOOKS,13,Quito,Pichincha,D
25,BREAD/BAKERY,1,Salinas,Santa Elena,D
1,CELEBRATION,13,Quito,Pichincha,D
25,CLEANING,1,Salinas,Santa Elena,D
25,DAIRY,1,Salinas,Santa Elena,D
25,DELI,1,Salinas,Santa Elena,D
25,EGGS,1,Salinas,Santa Elena,D
25,FROZEN FOODS,1,Salinas,Santa Elena,D
25,GROCERY I,1,Salinas,Santa Elena,D
25,GROCERY II,1,Salinas,Santa Elena,D
1,HARDWARE,13,Quito,Pichincha,D
1,HOME AND KITCHEN I,13,Quito,Pichincha,D
1,HOME AND KITCHEN II,13,Quito,Pichincha,D
1,HOME APPLIANCES,13,Quito,Pichincha,D
1,HOME CARE,13,Quito,Pichincha,D
1,LADIESWEAR,13,Quito,Pichincha,D
25,LAWN AND GARDEN,1,Salinas,Santa Elena,D
25,LINGERIE,1,Salinas,Santa Elena,D
25,"LIQUOR,WINE,BEER",1,Salinas,Santa Elena,D
1,MAGAZINES,13,Quito,Pichincha,D
25,MEATS,1,Salinas,Santa Elena,D
25,PERSONAL CARE,1,Salinas,Santa Elena,D
1,PET SUPPLIES,13,Quito,Pichincha,D
1,PLAYERS AND ELECTRONICS,13,Quito,Pichincha,D
25,POULTRY,1,Salinas,Santa Elena,D
25,PREPARED FOODS,1,Salinas,Santa Elena,D
1,PRODUCE,13,Quito,Pichincha,D
1,SCHOOL AND OFFICE SUPPLIES,13,Quito,Pichincha,D
1,SEAFOOD,13,Quito,Pichincha,D
44,AUTOMOTIVE,5,Quito,Pichincha,A
1,BABY CARE,13,Quito,Pichincha,D
46,BEAUTY,14,Quito,Pichincha,A
44,BEVERAGES,5,Quito,Pichincha,A
1,BOOKS,13,Quito,Pichincha,D
44,BREAD/BAKERY,5,Quito,Pichincha,A
1,CELEBRATION,13,Quito,Pichincha,D
46,CLEANING,14,Quito,Pichincha,A
44,DAIRY,5,Quito,Pichincha,A
46,DELI,14,Quito,Pichincha,A
44,EGGS,5,Quito,Pichincha,A
44,FROZEN FOODS,5,Quito,Pichincha,A
45,GROCERY I,11,Quito,Pichincha,A
45,GROCERY II,11,Quito,Pichincha,A
34,HARDWARE,6,Guayaquil,Guayas,B
1,HOME AND KITCHEN I,13,Quito,Pichincha,D
1,HOME AND KITCHEN II,13,Quito,Pichincha,D
46,HOME APPLIANCES,14,Quito,Pichincha,A
1,HOME CARE,13,Quito,Pichincha,D
1,LADIESWEAR,13,Quito,Pichincha,D
8,LAWN AND GARDEN,8,Quito,Pichincha,D
8,LINGERIE,8,Quito,Pichincha,D
44,"LIQUOR,WINE,BEER",5,Quito,Pichincha,A
1,MAGAZINES,13,Quito,Pichincha,D
46,MEATS,14,Quito,Pichincha,A
46,PERSONAL CARE,14,Quito,Pichincha,A
1,PET SUPPLIES,13,Quito,Pichincha,D
1,PLAYERS AND ELECTRONICS,13,Quito,Pichincha,D
46,POULTRY,14,Quito,Pichincha,A
44,PREPARED FOODS,5,Quito,Pichincha,A
1,PRODUCE,13,Quito,Pichincha,D
1,SCHOOL AND OFFICE SUPPLIES,13,Quito,Pichincha,D
3,SEAFOOD,8,Quito,Pichincha,D
9,AUTOMOTIVE,6,Quito,Pichincha,B
1,BABY CARE,13,Quito,Pichincha,D
44,BEAUTY,5,Quito,Pichincha,A
44,BEVERAGES,5,Quito,Pichincha,A
1,BOOKS,13,Quito,Pichincha,D
47,BREAD/BAKERY,14,Quito,Pichincha,A
1,CELEBRATION,13,Quito,Pichincha,D
47,CLEANING,14,Quito,Pichincha,A
