Family,Model,Parameters,MAE,RMSE,MAPE
BEVERAGES,SARIMAX,"(2, 0, 0) x (1, 0, 0, 52)",175188.13819493534,185533.3885328362,0.24110939524142552
BREAD/BAKERY,SARIMAX,"(1, 0, 1) x (1, 0, 1, 52)",9323.332799243324,10891.511847774687,0.07628278341943205
CLEANING,SARIMAX,"(1, 0, 1) x (1, 0, 0, 52)",70295.94524687028,79337.7314352142,0.19943214757213246
DAIRY,Seasonal Naive,lag=52,68362.5,112884.91450809536,0.7070195233976305
DELI,SARIMAX,"(1, 0, 1) x (1, 0, 0, 52)",5724.116584421903,6466.950166284173,0.11656929516592691
GROCERY I,SARIMAX,"(0, 0, 2) x (1, 0, 1, 52)",143142.27524202698,173534.39267228468,0.15867205489346245
MEATS,Seasonal Naive,lag=52,31941.7107845,49574.69980191839,0.7516965410578413
PERSONAL CARE,SARIMAX,"(3, 0, 3) x (1, 0, 0, 52)",8951.663563988159,11823.581236582648,0.1964980201539466
POULTRY,SARIMAX,"(1, 0, 2) x (1, 0, 0, 52)",6820.984786258876,7569.737535269129,0.10305149661283666
PRODUCE,SARIMAX,"(3, 0, 0) x (0, 0, 0, 52)",121732.78075730377,126128.23045325105,0.2279562530736813
