Model,Parameters,MAE,RMSE,MAPE
ARIMA,"(0, 1, 0)",185339.051025,318324.3064242793,0.6898100448051894
ARIMA,"(0, 1, 1)",63482.576534845546,98267.50730673513,0.8748710046100217
ARIMA,"(1, 1, 1)",68854.74881252459,96908.24296565738,0.8867941214508179
ARIMA,"(1, 1, 3)",460922.5224524174,758660.1717705728,0.8805813232944975
ARIMA,"(2, 1, 1)",310797.2226737826,518157.8884077026,0.7830851917015222
ARIMA,"(2, 1, 3)",32189.096181281504,54851.664980617985,0.8145687210993945
Naive,lag=1,128195.34576252499,201936.07108269585,0.7584455119906348
SARIMA,"(0, 1, 0) x (0, 0, 0, 52)",185339.051025,318324.3064242793,0.6898100448051894
SARIMA,"(0, 1, 1) x (1, 0, 1, 52)",50704.5763624851,85464.10358988644,0.7595972458914663
SARIMA,"(1, 1, 1) x (1, 0, 1, 52)",29706.807368693826,48996.290604346694,0.7880812497501062
SARIMA,"(1, 1, 3) x (1, 0, 1, 52)",391706.26436811354,648781.0783208642,0.7525509333584248
SARIMA,"(2, 1, 1) x (1, 0, 0, 52)",309181.9218619041,510552.2805744984,0.7740415041543237
SARIMA,"(2, 1, 1) x (1, 0, 1, 52)",145695.59206831112,187792.94676536878,0.8894874847807722
SARIMA,"(3, 1, 0) x (1, 0, 1, 52)",25776.447033771437,44225.97455874182,0.7754693162800284
SARIMAX,"(0, 0, 2) x (1, 0, 1, 52)",143142.27524202698,173534.39267228468,0.15867205489346245
SARIMAX,"(0, 1, 1) x (1, 0, 1, 52)",101314.8783656393,172707.99742277176,1.0739545753168267
SARIMAX,"(1, 0, 1) x (1, 0, 0, 52)",38010.03091564609,42902.34080074919,0.15800072136902968
SARIMAX,"(1, 0, 1) x (1, 0, 1, 52)",9323.332799243324,10891.511847774687,0.07628278341943205
SARIMAX,"(1, 0, 2) x (1, 0, 0, 52)",6820.984786258876,7569.737535269129,0.10305149661283666
SARIMAX,"(1, 1, 1) x (1, 0, 1, 52)",37728.0264383774,66490.7695495866,0.9819738630630485
SARIMAX,"(2, 0, 0) x (1, 0, 0, 52)",175188.13819493534,185533.3885328362,0.24110939524142552
SARIMAX,"(3, 0, 0) x (0, 0, 0, 52)",121732.78075730377,126128.23045325105,0.2279562530736813
SARIMAX,"(3, 0, 3) x (1, 0, 0, 52)",8951.663563988159,11823.581236582648,0.1964980201539466
Seasonal Naive,lag=52,137394.762164075,182357.691051109,0.702515840267726
