date,family,Actual_Sales,Forecasted_Sales,Model
2013-04-01,BEVERAGES,60003.0,87447.33817297542,SARIMAX
2013-04-01,BREAD/BAKERY,22030.397,21394.60153405636,SARIMAX
2013-04-01,CLEANING,59754.0,53052.44500002375,SARIMAX
2013-04-01,DAIRY,20547.0,,Seasonal Naive
2013-04-01,DELI,12558.66697,12346.459491608866,SARIMAX
2013-04-01,GROCERY I,185526.0,175522.16846050747,SARIMAX
2013-04-01,MEATS,20948.115934,,Seasonal Naive
2013-04-01,PERSONAL CARE,13536.0,12547.593503558524,SARIMAX
2013-04-01,POULTRY,11456.621007,18185.690403509558,SARIMAX
2013-04-01,PRODUCE,64.0,13643.879252321749,SARIMAX
2013-04-02,BEVERAGES,54001.0,78894.41589752007,SARIMAX
2013-04-02,BREAD/BAKERY,18770.998,19374.63840469566,SARIMAX
2013-04-02,CLEANING,54174.0,48882.61986810212,SARIMAX
2013-04-02,DAIRY,18358.0,,Seasonal Naive
2013-04-02,DELI,10432.91,11174.386710939003,SARIMAX
2013-04-02,GROCERY I,162516.0,160736.23680154746,SARIMAX
2013-04-02,MEATS,17594.184936,,Seasonal Naive
2013-04-02,PERSONAL CARE,11852.0,11387.527081068863,SARIMAX
2013-04-02,POULTRY,10417.988021,17191.527977709204,SARIMAX
2013-04-02,PRODUCE,62.0,14026.106865092896,SARIMAX
2013-04-03,BEVERAGES,55428.0,78293.52996727824,SARIMAX
2013-04-03,BREAD/BAKERY,19051.261,19679.75238920644,SARIMAX
2013-04-03,CLEANING,52740.0,48681.87212487754,SARIMAX
2013-04-03,DAIRY,19411.0,,Seasonal Naive
2013-04-03,DELI,9751.01799,10612.00693229815,SARIMAX
2013-04-03,GROCERY I,158484.0,158845.8207093876,SARIMAX
2013-04-03,MEATS,17686.411864,,Seasonal Naive
2013-04-03,PERSONAL CARE,10776.0,10974.845851528264,SARIMAX
2013-04-03,POULTRY,9475.532042,17074.979460086048,SARIMAX
2013-04-03,PRODUCE,86.0,17715.11949134956,SARIMAX
2013-04-04,BEVERAGES,46133.0,71639.91604340311,SARIMAX
2013-04-04,BREAD/BAKERY,16338.249,17666.76528123255,SARIMAX
2013-04-04,CLEANING,42335.0,43953.41610771023,SARIMAX
2013-04-04,DAIRY,15572.0,,Seasonal Naive
2013-04-04,DELI,8514.446996,10242.20410112024,SARIMAX
2013-04-04,GROCERY I,128403.0,145273.8260519484,SARIMAX
2013-04-04,MEATS,15746.31298,,Seasonal Naive
2013-04-04,PERSONAL CARE,9389.0,9854.307554521944,SARIMAX
2013-04-04,POULTRY,8505.154995,15625.858386600168,SARIMAX
2013-04-04,PRODUCE,137.0,11301.77004196556,SARIMAX
2013-04-05,BEVERAGES,54537.0,81619.43866829375,SARIMAX
2013-04-05,BREAD/BAKERY,16299.34005,19093.69478561043,SARIMAX
2013-04-05,CLEANING,42893.0,47746.14445390192,SARIMAX
2013-04-05,DAIRY,17628.0,,Seasonal Naive
2013-04-05,DELI,9438.98,12145.365148879535,SARIMAX
2013-04-05,GROCERY I,130952.0,155590.96889600548,SARIMAX
