date,family,Actual_Sales,Forecasted_Sales,Model
2013-04-07,BEVERAGES,441419.0,641261.5002556382,SARIMAX
2013-04-14,BEVERAGES,412046.0,497548.1852418892,SARIMAX
2013-04-21,BEVERAGES,399330.0,496066.23115407553,SARIMAX
2013-04-28,BEVERAGES,394891.0,435902.2389687407,SARIMAX
2013-05-05,BEVERAGES,452789.0,422373.6852190754,SARIMAX
2013-05-12,BEVERAGES,470957.0,459960.54458141007,SARIMAX
2013-05-19,BEVERAGES,430124.0,500032.33483315015,SARIMAX
2013-05-26,BEVERAGES,396376.0,479750.34249619686,SARIMAX
2013-06-02,BEVERAGES,424726.0,457919.4399443101,SARIMAX
2013-06-09,BEVERAGES,426212.0,449850.15754433733,SARIMAX
2013-06-16,BEVERAGES,403539.0,448178.5198843249,SARIMAX
2013-06-23,BEVERAGES,416427.0,451710.5698868345,SARIMAX
2013-06-30,BEVERAGES,491204.0,453054.1667171427,SARIMAX
2013-07-07,BEVERAGES,452032.0,463559.9176189427,SARIMAX
2013-07-14,BEVERAGES,364895.0,453322.3329877027,SARIMAX
2013-07-21,BEVERAGES,373483.0,398638.37674388336,SARIMAX
2013-07-28,BEVERAGES,378675.0,412718.33126370166,SARIMAX
2013-08-04,BEVERAGES,416164.0,410694.402963954,SARIMAX
2013-08-11,BEVERAGES,402712.0,438352.3753248411,SARIMAX
2013-08-18,BEVERAGES,401151.0,423348.8820022552,SARIMAX
2013-08-25,BEVERAGES,397122.0,436137.5790623529,SARIMAX
2013-09-01,BEVERAGES,440996.0,412558.2567525084,SARIMAX
2013-09-08,BEVERAGES,465327.0,441579.73429588,SARIMAX
2013-09-15,BEVERAGES,428211.0,478447.5277419238,SARIMAX
2013-09-22,BEVERAGES,435320.0,475042.18177647545,SARIMAX
2013-09-29,BEVERAGES,425908.0,479188.2997378765,SARIMAX
2013-10-06,BEVERAGES,459752.0,457136.775782164,SARIMAX
2013-10-13,BEVERAGES,432458.0,479722.67716599646,SARIMAX
2013-10-20,BEVERAGES,413214.0,474420.7153657606,SARIMAX
2013-10-27,BEVERAGES,404887.0,476959.6507584241,SARIMAX
2013-11-03,BEVERAGES,437991.0,458616.61403703794,SARIMAX
2013-11-10,BEVERAGES,453556.0,480200.8611427779,SARIMAX
2013-11-17,BEVERAGES,442226.0,489685.8271873684,SARIMAX
