policy_type,safety_stock,reorder_point,order_quantity,order_up_to_level,fill_rate,cycle_service_level,total_cost,avg_inventory,num_orders,units_short,family,scenario,holding_rate_annual,order_cost_K,shortage_cost_B,target_fill_rate,lead_time,review_period
"(s,Q)",487622.5629268677,1750781.1484623086,314433.57823555294,,0.9915792452681083,0.9312666666666668,543439.8849256015,609857.946772501,3.0,36107.04528732744,GROCERY I,Base Case,0.15,25.0,15.0,0.95,1,1
"(s,Q)",487622.5629268677,1750781.1484623086,317141.9278071878,,0.9919499605113142,0.9343,520291.1861958928,613358.2283281423,3.0,34602.4434094277,GROCERY I,Holding Rate 10%,0.1,25.0,15.0,0.95,1,1
"(s,Q)",487622.5629268677,1750781.1484623086,236395.69644603063,,0.9893607089441051,0.9145666666666666,679028.7652701776,587648.4485864064,3.0,45075.23548961877,GROCERY I,Holding Rate 25%,0.25,25.0,15.0,0.95,1,1
"(s,Q)",487622.5629268677,1750781.1484623086,193016.27789421263,,0.9880417982074589,0.9053666666666667,755866.256378448,578626.1969508503,3.0,50277.80948991881,GROCERY I,Order Cost K=10,0.15,10.0,15.0,0.95,1,1
"(s,Q)",487622.5629268677,1750781.1484623086,444676.2308062206,,0.9950188570846591,0.9614,334013.3943600773,652822.19611269,3.0,22132.01689398348,GROCERY I,Order Cost K=50,0.15,50.0,15.0,0.95,1,1
"(s,Q)",487622.5629268677,1750781.1484623086,314433.57823555294,,0.9915792452681083,0.9312666666666668,272637.0452706457,609857.946772501,3.0,36107.04528732744,GROCERY I,Shortage Cost 50%,0.15,25.0,7.5,0.95,1,1
"(s,Q)",487622.5629268677,1750781.1484623086,314433.57823555294,,0.9915792452681083,0.9312666666666668,814242.7245805572,609857.946772501,3.0,36107.04528732744,GROCERY I,Shortage Cost 150%,0.15,25.0,22.5,0.95,1,1
"(s,Q)",588068.7254797088,1565680.61097795,260348.0184827188,,0.9965739674773285,0.9847,156552.76562654958,687134.0485625392,3.0,12874.637348231086,BEVERAGES,Base Case,0.15,25.0,12.0,0.95,1,1
"(s,Q)",588068.7254797088,1565680.61097795,259073.66908610886,,0.9965830827005026,0.985,155284.03455837793,686795.5773376913,3.0,12824.022819394044,BEVERAGES,Holding Rate 10%,0.1,25.0,12.0,0.95,1,1
"(s,Q)",588068.7254797088,1565680.61097795,207966.7300840945,,0.9960984794703327,0.9825,177634.22483669076,664354.9732698931,3.0,14530.434211843663,BEVERAGES,Holding Rate 25%,0.25,25.0,12.0,0.95,1,1
"(s,Q)",588068.7254797088,1565680.61097795,169804.12406038246,,0.9957856463153708,0.9810666666666668,189512.9985340755,651872.9496383129,3.0,15633.549649561184,BEVERAGES,Order Cost K=10,0.15,10.0,12.0,0.95,1,1
"(s,Q)",588068.7254797088,1565680.61097795,391199.4298424235,,0.9973821768539798,0.9885333333333334,121149.85315301376,739284.8890993958,3.0,9905.608382358665,BEVERAGES,Order Cost K=50,0.15,50.0,12.0,0.95,1,1
"(s,Q)",588068.7254797088,1565680.61097795,260348.0184827188,,0.9965739674773285,0.9847,79304.94153716306,687134.0485625392,3.0,12874.637348231086,BEVERAGES,Shortage Cost 50%,0.15,25.0,6.0,0.95,1,1
"(s,Q)",588068.7254797088,1565680.61097795,260348.0184827188,,0.9965739674773285,0.9847,233800.58971593608,687134.0485625392,3.0,12874.637348231086,BEVERAGES,Shortage Cost 150%,0.15,25.0,18.0,0.95,1,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,1361.6535989546512,446039.91430427914,3.0,0.0,CLEANING,Base Case,0.15,25.0,15.0,0.95,1,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,932.7690659697678,446039.91430427914,3.0,0.0,CLEANING,Holding Rate 10%,0.1,25.0,15.0,0.95,1,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,2219.422664924419,446039.91430427914,3.0,0.0,CLEANING,Holding Rate 25%,0.25,25.0,15.0,0.95,1,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,1316.6535989546512,446039.91430427914,3.0,0.0,CLEANING,Order Cost K=10,0.15,10.0,15.0,0.95,1,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,1436.6535989546512,446039.91430427914,3.0,0.0,CLEANING,Order Cost K=50,0.15,50.0,15.0,0.95,1,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,1361.6535989546512,446039.91430427914,3.0,0.0,CLEANING,Shortage Cost 50%,0.15,25.0,7.5,0.95,1,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,1361.6535989546512,446039.91430427914,3.0,0.0,CLEANING,Shortage Cost 150%,0.15,25.0,22.5,0.95,1,1
"(s,Q)",487622.5629268677,1750781.1484623086,314433.57823555294,,0.9915792452681083,0.9312666666666668,543439.8849256015,609857.946772501,3.0,36107.04528732744,GROCERY I,Service Target beta=0.90,0.15,25.0,15.0,0.9,1,1
"(s,Q)",487622.5629268677,1750781.1484623086,314433.57823555294,,0.9915792452681083,0.9312666666666668,543439.8849256015,609857.946772501,3.0,36107.04528732744,GROCERY I,Service Target beta=0.95,0.15,25.0,15.0,0.95,1,1
"(s,Q)",487622.5629268677,1750781.1484623086,314433.57823555294,,0.9915792452681083,0.9312666666666668,543439.8849256015,609857.946772501,3.0,36107.04528732744,GROCERY I,Service Target beta=0.98,0.15,25.0,15.0,0.98,1,1
"(s,Q)",588068.7254797088,1565680.61097795,260348.0184827188,,0.9965739674773285,0.9847,156552.76562654958,687134.0485625392,3.0,12874.637348231086,BEVERAGES,Service Target beta=0.90,0.15,25.0,12.0,0.9,1,1
"(s,Q)",588068.7254797088,1565680.61097795,260348.0184827188,,0.9965739674773285,0.9847,156552.76562654958,687134.0485625392,3.0,12874.637348231086,BEVERAGES,Service Target beta=0.95,0.15,25.0,12.0,0.95,1,1
"(s,Q)",588068.7254797088,1565680.61097795,260348.0184827188,,0.9965739674773285,0.9847,156552.76562654958,687134.0485625392,3.0,12874.637348231086,BEVERAGES,Service Target beta=0.98,0.15,25.0,12.0,0.98,1,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,1361.6535989546512,446039.91430427914,3.0,0.0,CLEANING,Service Target beta=0.90,0.15,25.0,15.0,0.9,1,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,1361.6535989546512,446039.91430427914,3.0,0.0,CLEANING,Service Target beta=0.95,0.15,25.0,15.0,0.95,1,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,1361.6535989546512,446039.91430427914,3.0,0.0,CLEANING,Service Target beta=0.98,0.15,25.0,15.0,0.98,1,1
"(s,Q)",487622.5629268677,1750781.1484623086,314433.57823555294,,0.9915792452681083,0.9312666666666668,543439.8849256015,609857.946772501,3.0,36107.04528732744,GROCERY I,Lead Time L=1,0.15,25.0,15.0,0.95,1,1
"(s,Q)",949468.7058729369,3475785.8769438183,295937.48539816745,,0.9988155278730474,0.9919666666666668,87153.08347408846,1312314.0268524333,3.0,5552.837482852225,GROCERY I,Lead Time L=2,0.15,25.0,15.0,0.95,2,1
"(s,Q)",588068.7254797088,1565680.61097795,260348.0184827188,,0.9965739674773285,0.9847,156552.76562654958,687134.0485625392,3.0,12874.637348231086,BEVERAGES,Lead Time L=1,0.15,25.0,12.0,0.95,1,1
"(s,Q)",1060753.0593051245,3015976.830301607,260348.0184827188,,0.9993002839816825,0.9946333333333334,37522.09898055577,1353300.6654249677,3.0,2795.278921755056,BEVERAGES,Lead Time L=2,0.15,25.0,12.0,0.95,2,1
"(R,S)",0.0,,,798371.8172246226,1.0,1.0,1361.6535989546512,446039.91430427914,3.0,0.0,CLEANING,"Lead Time L=1, R=1",0.15,25.0,15.0,0.95,1,1
"(R,S)",0.0,,,1056995.70876103,0.9999989893316397,0.9999666666666666,1360.3345411123653,438540.76956983167,3.0,1.3542060286772555,CLEANING,"Lead Time L=2, R=1",0.15,25.0,15.0,0.95,2,1
"(R,S)",0.0,,,1056995.70876103,0.9999989893316397,0.9999666666666666,1360.3345411123653,438540.76956983167,3.0,1.3542060286772555,CLEANING,"Lead Time L=2, R=2",0.15,25.0,15.0,0.95,2,2
"(s,Q)",487622.5629268677,1750781.1484623086,314433.57823555294,,0.9915792452681083,0.9312666666666668,543439.8849256015,609857.946772501,3.0,36107.04528732744,GROCERY I,Uncertainty: Ratio Bootstrap,0.15,25.0,15.0,0.95,1,1
"(s,Q)",637248.8151040885,1899179.118820113,314280.6651393618,,0.9978249429178324,0.981,141839.3986869152,752799.881976585,3.0,9306.190704388593,GROCERY I,Uncertainty: Residual Bootstrap,0.15,25.0,15.0,0.95,1,1
"(s,Q)",506151.25799470505,1767961.5901825896,314265.7254759989,,0.9924003036754704,0.9369333333333332,488612.4951686616,625779.2300720585,3.0,32448.824184948193,GROCERY I,Uncertainty: Ratio KDE,0.15,25.0,15.0,0.95,1,1
"(s,Q)",602225.5741760099,1580018.0713260896,260372.06673477642,,0.9964559331235894,0.9846666666666668,162954.39384243227,701071.188020409,3.0,13404.75609231317,BEVERAGES,Uncertainty: Ratio Bootstrap,0.15,25.0,12.0,0.95,1,1
"(s,Q)",568288.1854686425,1548528.5088716974,276991.38430589007,,0.9991729046133725,0.9900666666666668,35421.384014402924,666873.2549603241,3.0,2785.2259302963193,BEVERAGES,Uncertainty: Residual Bootstrap,0.15,25.0,12.0,0.95,1,1
"(s,Q)",644820.3451644563,1623689.5110308765,268656.48354717187,,0.996605381710652,0.9859666666666668,158065.25211217505,742485.6269525433,3.0,12987.37222081766,BEVERAGES,Uncertainty: Ratio KDE,0.15,25.0,12.0,0.95,1,1
"(R,S)",0.0,,,798215.5177128802,1.0,1.0,1361.3622157524917,445938.9014608639,3.0,0.0,CLEANING,Uncertainty: Ratio Bootstrap,0.15,25.0,15.0,0.95,1,1
"(R,S)",0.0,,,798481.4662438326,1.0,1.0,1361.3482415134918,445934.0570580105,3.0,0.0,CLEANING,Uncertainty: Residual Bootstrap,0.15,25.0,15.0,0.95,1,1
"(R,S)",0.0,,,797947.1813616322,1.0,1.0,1360.320661740034,445577.8294032119,3.0,0.0,CLEANING,Uncertainty: Ratio KDE,0.15,25.0,15.0,0.95,1,1
