family,replication_id,ending_inventory
GROCERY I,0,1114325.871596546
GROCERY I,1,755390.9636074863
GROCERY I,2,1045380.7090623648
GROCERY I,3,869763.7111619131
GROCERY I,4,1076207.1069032964
GROCERY I,5,1103554.3562388918
GROCERY I,6,1014236.3811194376
GROCERY I,7,1086367.0536833017
GROCERY I,8,973842.8392858854
GROCERY I,9,1165397.3613707817
GROCERY I,10,936418.8456420318
GROCERY I,11,1123885.8056813753
GROCERY I,12,1035927.7816012703
GROCERY I,13,1066366.6728617419
GROCERY I,14,1057029.3879253906
GROCERY I,15,921069.341174966
GROCERY I,16,840994.3943649556
GROCERY I,17,1000172.9091362233
GROCERY I,18,1081361.9658222054
GROCERY I,19,960487.9067516612
GROCERY I,20,923388.1843516494
GROCERY I,21,982835.9457547796
GROCERY I,22,1077235.0228859535
GROCERY I,23,964774.6338584796
GROCERY I,24,1013675.8542577031
GROCERY I,25,894560.2081320386
GROCERY I,26,811156.6090683219
GROCERY I,27,1086939.4627421545
GROCERY I,28,809377.9635484923
GROCERY I,29,1187118.9638636583
GROCERY I,30,1066291.3189439117
GROCERY I,31,1040005.8684075301
GROCERY I,32,988340.0981422472
GROCERY I,33,1140731.3791096713
GROCERY I,34,946617.0571529396
GROCERY I,35,840452.5966025011
GROCERY I,36,924476.6657183514
GROCERY I,37,890702.4391508609
GROCERY I,38,976476.0641256899
GROCERY I,39,1013903.6937167291
GROCERY I,40,970148.5005714413
GROCERY I,41,1155901.2926131145
GROCERY I,42,1027270.0527809844
GROCERY I,43,692277.6449325425
GROCERY I,44,976636.9112596869
GROCERY I,45,1255020.8620499144
GROCERY I,46,843498.2723048439
GROCERY I,47,920148.7649732785
GROCERY I,48,1246640.9765536916
GROCERY I,49,831972.7841494968
GROCERY I,50,925485.4195980018
GROCERY I,51,966178.8167755344
GROCERY I,52,982806.1147454869
GROCERY I,53,837778.5194209479
GROCERY I,54,1093489.6994150043
GROCERY I,55,878409.5798856419
GROCERY I,56,925424.0928266885
GROCERY I,57,852066.9281023206
GROCERY I,58,1022422.1066068679
GROCERY I,59,1014011.4036998836
GROCERY I,60,1054665.9504264025
GROCERY I,61,1156028.9668969987
GROCERY I,62,952277.0182849792
GROCERY I,63,903647.2551540878
GROCERY I,64,1130287.0286778058
GROCERY I,65,1113653.5138823236
GROCERY I,66,847986.3171496352
GROCERY I,67,1048444.8435205928
GROCERY I,68,1137423.7557980535
GROCERY I,69,873055.5844695518
GROCERY I,70,1119590.7729098494
GROCERY I,71,1036688.9574192174
GROCERY I,72,1068955.087935324
GROCERY I,73,879780.52557058
GROCERY I,74,924042.9007907318
GROCERY I,75,981731.0158569805
GROCERY I,76,1033820.5760669344
GROCERY I,77,1066366.6728617419
GROCERY I,78,1073130.4753524275
GROCERY I,79,1155079.9534047153
GROCERY I,80,854943.1104231189
GROCERY I,81,915874.3686021593
GROCERY I,82,1161826.844789031
GROCERY I,83,917692.5027369886
GROCERY I,84,984290.4837745471
GROCERY I,85,1076277.9630125025
GROCERY I,86,1026239.2695635023
GROCERY I,87,1032146.3658338744
GROCERY I,88,1024486.9417782633
GROCERY I,89,932869.698576255
GROCERY I,90,862951.4362506139
GROCERY I,91,971353.4243267821
GROCERY I,92,1279164.550948447
GROCERY I,93,1164370.1161899152
GROCERY I,94,1170252.9544832066
GROCERY I,95,851656.4935536569
GROCERY I,96,965860.9562204373
GROCERY I,97,1012251.9605379691
GROCERY I,98,762189.6374587105
GROCERY I,99,900528.4457121787
GROCERY I,100,1210640.0053518547
GROCERY I,101,1205206.109883641
GROCERY I,102,990308.5029679799
GROCERY I,103,1002788.5156846659
GROCERY I,104,955171.1372441469
GROCERY I,105,1108114.232355349
GROCERY I,106,1145070.0436892174
GROCERY I,107,794994.9909454405
GROCERY I,108,952277.0182849792
GROCERY I,109,1022156.3885371212
GROCERY I,110,1010434.1621976363
GROCERY I,111,1007273.0953991091
GROCERY I,112,1098507.2868013703
GROCERY I,113,1112390.1646759212
GROCERY I,114,881998.983108787
GROCERY I,115,1082310.6790857958
GROCERY I,116,990021.8695425753
GROCERY I,117,1003304.2620974021
GROCERY I,118,984500.6261194752
GROCERY I,119,1188009.1578572139
GROCERY I,120,883719.5202758717
GROCERY I,121,983990.2435070381
GROCERY I,122,908954.9642619584
GROCERY I,123,959320.7034373725
GROCERY I,124,991991.4473713125
GROCERY I,125,1067777.600626143
GROCERY I,126,1115931.6633888313
GROCERY I,127,955171.1372441469
GROCERY I,128,1161643.221479832
GROCERY I,129,840008.9060115095
GROCERY I,130,1151982.8485111834
GROCERY I,131,877045.7570063416
GROCERY I,132,781246.8835836456
GROCERY I,133,986707.5213039642
GROCERY I,134,1014011.4036998836
GROCERY I,135,1001291.4027449711
GROCERY I,136,1179595.960234488
GROCERY I,137,952548.1692919624
GROCERY I,138,1211315.7171505606
GROCERY I,139,1019688.0244550881
GROCERY I,140,973779.7355475284
GROCERY I,141,977769.1906892761
GROCERY I,142,983567.3173347614
GROCERY I,143,889174.8244571321
GROCERY I,144,866695.238696278
GROCERY I,145,943070.2052836865
GROCERY I,146,972159.9855502278
GROCERY I,147,1118027.6683368948
GROCERY I,148,956974.6530159636
GROCERY I,149,1006197.3861645979
GROCERY I,150,1176231.1399735813
GROCERY I,151,885656.7461681718
GROCERY I,152,970983.8082076574
GROCERY I,153,1155240.9888789514
GROCERY I,154,1207007.9497213752
GROCERY I,155,1036967.7141607461
GROCERY I,156,909267.6735010404
GROCERY I,157,941030.379024068
GROCERY I,158,1149189.3209324584
GROCERY I,159,966288.9273702438
GROCERY I,160,1112906.9575370285
GROCERY I,161,936627.3792450577
GROCERY I,162,1264184.2356558098
GROCERY I,163,982053.5810375694
GROCERY I,164,1156023.6057469398
GROCERY I,165,1118377.4642656315
GROCERY I,166,992036.4531801983
GROCERY I,167,982053.5810375694
GROCERY I,168,931116.0224399441
GROCERY I,169,952277.0182849792
GROCERY I,170,918352.7165023517
GROCERY I,171,1093402.8689374998
GROCERY I,172,920391.6632025851
GROCERY I,173,1003956.059150348
GROCERY I,174,990308.5029679799
GROCERY I,175,931646.5277748903
GROCERY I,176,998902.6060036672
GROCERY I,177,832148.8526311663
GROCERY I,178,934075.7337692657
GROCERY I,179,900528.4457121787
GROCERY I,180,965610.3552604627
GROCERY I,181,913650.5659579758
GROCERY I,182,983990.2435070381
GROCERY I,183,401644.3157294828
GROCERY I,184,881899.684188185
GROCERY I,185,841796.2606918938
GROCERY I,186,990021.8695425753
GROCERY I,187,1176312.0803894766
GROCERY I,188,945054.7427782209
GROCERY I,189,796208.6255511728
GROCERY I,190,911180.9983987715
GROCERY I,191,944540.5943344777
GROCERY I,192,839454.1041748803
GROCERY I,193,943335.867359355
GROCERY I,194,1197873.8538619734
GROCERY I,195,889914.3325977655
GROCERY I,196,922020.8792364747
GROCERY I,197,1075492.4248269182
GROCERY I,198,824076.8349377537
GROCERY I,199,880498.911807486
GROCERY I,200,989334.5734759016
GROCERY I,201,916621.2843315945
GROCERY I,202,1069009.058413892
GROCERY I,203,1128037.8921724088
GROCERY I,204,956813.7935442857
GROCERY I,205,839115.0443811009
GROCERY I,206,1164590.462086997
GROCERY I,207,1035251.0897637943
GROCERY I,208,874081.1999846455
GROCERY I,209,864363.9284248129
GROCERY I,210,991460.6376449157
GROCERY I,211,959753.0802282186
GROCERY I,212,976932.2949044731
GROCERY I,213,956285.7573584362
GROCERY I,214,1031373.8715752022
GROCERY I,215,896489.3237817552
GROCERY I,216,947682.6249528775
GROCERY I,217,1133974.447324633
GROCERY I,218,1094473.4298766952
GROCERY I,219,744644.3504915412
GROCERY I,220,1047550.2970891031
GROCERY I,221,489671.25899117975
GROCERY I,222,795507.3876660438
GROCERY I,223,945434.3358926934
GROCERY I,224,792591.9016204951
GROCERY I,225,904171.2492268776
GROCERY I,226,1042816.1200338338
GROCERY I,227,849722.400807149
GROCERY I,228,1066276.975242482
GROCERY I,229,1043603.1327668936
GROCERY I,230,775385.4205713379
GROCERY I,231,834979.3974851961
GROCERY I,232,1065149.7963065626
GROCERY I,233,793631.7079274846
GROCERY I,234,1194280.8545389748
GROCERY I,235,1035982.687249159
GROCERY I,236,903812.1069978939
GROCERY I,237,939647.4284760365
GROCERY I,238,1103974.2495466995
GROCERY I,239,1148489.5082645195
GROCERY I,240,1024431.8852273247
GROCERY I,241,755914.2770607977
GROCERY I,242,860618.81321064
GROCERY I,243,1082182.1510958632
GROCERY I,244,849929.1030762448
GROCERY I,245,1018344.8170099645
GROCERY I,246,972402.5891922476
GROCERY I,247,991414.7287399902
GROCERY I,248,960797.3720698389
GROCERY I,249,819297.5726124726
GROCERY I,250,909868.4724795708
GROCERY I,251,1174803.5359684771
GROCERY I,252,1058466.1227763973
GROCERY I,253,884159.8884877595
GROCERY I,254,1039553.4667835246
GROCERY I,255,1094270.2442471017
GROCERY I,256,974309.551419411
GROCERY I,257,1166360.054179499
GROCERY I,258,1096336.6107700756
GROCERY I,259,704651.3497919317
GROCERY I,260,1146566.0290496706
GROCERY I,261,910397.009492889
GROCERY I,262,1018614.581992972
GROCERY I,263,934075.7337692657
GROCERY I,264,1111367.8885234604
GROCERY I,265,1045989.4545528496
GROCERY I,266,1064125.7135478938
GROCERY I,267,1076569.2510250348
GROCERY I,268,1144905.515558491
GROCERY I,269,700207.2682646941
GROCERY I,270,902702.8619635926
GROCERY I,271,996239.7625822849
GROCERY I,272,855623.0906999919
GROCERY I,273,805511.2756556019
GROCERY I,274,559401.5554032025
GROCERY I,275,855081.1567948445
GROCERY I,276,1001002.2183987926
GROCERY I,277,1002522.7218105161
GROCERY I,278,915005.4911629831
GROCERY I,279,727545.0588134323
GROCERY I,280,945166.1532558139
GROCERY I,281,1256127.303322446
GROCERY I,282,854837.1972656845
GROCERY I,283,940346.8255863999
GROCERY I,284,829143.8223153257
GROCERY I,285,939193.4771705761
GROCERY I,286,954333.2339988034
GROCERY I,287,1052541.6332026296
GROCERY I,288,972402.5891922476
GROCERY I,289,920825.7277932379
GROCERY I,290,806259.5708630614
GROCERY I,291,1019969.4809437211
GROCERY I,292,1174830.7503485996
GROCERY I,293,628796.1504600917
GROCERY I,294,1110341.2625048272
GROCERY I,295,965610.3552604627
GROCERY I,296,918295.0458614401
GROCERY I,297,1163725.5069248038
GROCERY I,298,853354.4926932575
GROCERY I,299,1012273.9600819399
GROCERY I,300,1035924.3198492321
GROCERY I,301,1302409.1825878173
GROCERY I,302,1083452.679935682
GROCERY I,303,1225274.8774105627
GROCERY I,304,770918.9071823885
GROCERY I,305,895136.6843035431
GROCERY I,306,1072625.4771743177
GROCERY I,307,928672.2066430713
GROCERY I,308,922640.1503781817
GROCERY I,309,892698.9961543438
GROCERY I,310,875609.3713639725
GROCERY I,311,868642.7648776443
GROCERY I,312,898246.4833881996
GROCERY I,313,1172319.6832433532
GROCERY I,314,1123695.8428381025
GROCERY I,315,952548.1692919624
GROCERY I,316,936418.8456420318
GROCERY I,317,1172911.427519993
GROCERY I,318,1105356.662081178
GROCERY I,319,1047115.9925394437
GROCERY I,320,1144895.2025655336
GROCERY I,321,986241.4855044233
GROCERY I,322,849147.4975815008
GROCERY I,323,1196834.2296247142
GROCERY I,324,1205097.0797414682
GROCERY I,325,989464.8433048953
GROCERY I,326,750175.279287206
GROCERY I,327,1024069.1851801303
GROCERY I,328,855665.509359025
GROCERY I,329,1155442.9255519407
GROCERY I,330,1177500.387072099
GROCERY I,331,1105314.6145132487
GROCERY I,332,876896.6281973952
GROCERY I,333,1057220.901834238
GROCERY I,334,949294.513023231
